level_0,level_1,level_2,root_kc,final_cluster
阿富汗,阿富汗,中印军事冲突与地缘政治,中东与中国历史政治研究,15
电压电流同相位,电气电路知识,运算放大器与电路设计,信息技术与管理,12
植物景观设计,植物景观设计与规划,植物景观与设计,生物与环境设计,2
间壁式换热器,换热器类型,热交换与传热,热力学与化学反应,7
新闻跳笔,新闻传播与实践,课程理论与实践,教育研究与实践,13
核心期刊,核心期刊,期刊分类与投稿,教育研究与实践,13
资料收集阶段,对象研究,研究设计,组织与评估设计,0
计算机,计算机设备与应用,多媒体与技术应用,教育研究与实践,13
空中走廊,向量与空间理论,数学理论,科学理论与方法,9
地区数据,地区数据,数据处理与分析,信息技术与管理,12
一阶齐次线性微分方程,方程求解方法,方程理论,科学理论与方法,9
法人,法人,法人,法律与责任,6
汉高祖继承人,汉高祖继承人,中国历史,中东与中国历史政治研究,15
规划谬误,规划谬误,规划与设计,生物与环境设计,2
两级放大电路,两级放大电路,运算放大器与电路设计,信息技术与管理,12
老慢支,慢性疾病,泌尿系统与代谢疾病,生物与环境设计,2
薪酬设计,薪酬设计,薪酬设计,组织与评估设计,0
矩阵的逆,矩阵理论,数学理论,科学理论与方法,9
新闻事件,新闻传播与实践,课程理论与实践,教育研究与实践,13
隐马尔可夫模型,模型理论,数学理论,科学理论与方法,9
main函数,main函数,函数理论,科学理论与方法,9
线性组合,线性理论,数学理论,科学理论与方法,9
顺流式换热器,换热器类型,热交换与传热,热力学与化学反应,7
建筑环境,建筑环境设计,建筑环境与生态设计,生物与环境设计,2
2-丁酮,2-丁酮,2-丁酮,热力学与化学反应,7
sp轨道杂化键,原子结构与杂化理论,原子结构与杂化理论,科学理论与方法,9
肝功能,肝脏疾病与代谢,泌尿系统与代谢疾病,生物与环境设计,2
热流量,热流量,热流量,热力学与化学反应,7
时差,偏差与异常分析,偏差与异常分析,科学理论与方法,9
电容,电容,电学原理,科学理论与方法,9
分布函数,分布函数,概率分布函数,科学理论与方法,9
收入费用,成本与价格分析,分析方法,科学理论与方法,9
赔偿责任,责任类型,法律责任,法律与责任,6
曹操,中国历史人物,中国历史,中东与中国历史政治研究,15
叉排排列,叉排排列,排序算法,信息技术与管理,12
数据归约,数据处理技术,数据管理与处理,信息技术与管理,12
离群点,离群点,点的特性,化学与物理性质,8
云爆弹,云爆弹,云爆弹,热力学与化学反应,7
公允价值计量,价值理论,心理学理论,科学理论与方法,9
角量子数,量子数与数值概念,量子数与数值概念,科学理论与方法,9
朝鲜停战,中美军事冲突,中印军事冲突与地缘政治,中东与中国历史政治研究,15
静态工作点,静态工作点,点的特性,化学与物理性质,8
质量分析法,数据分析方法,数据处理与分析,信息技术与管理,12
数据变换类型,数据变换类型,数据处理与分析,信息技术与管理,12
努塞尔数,量子数与数值概念,量子数与数值概念,科学理论与方法,9
函数的性质,函数分析,函数理论,科学理论与方法,9
便携式CD播放器,计算机设备与应用,多媒体与技术应用,教育研究与实践,13
标准正交基,正态分布理论,数学理论,科学理论与方法,9
理想气体温标,理想气体温标,理想气体性质与温标,化学与物理性质,8
印度支那,印度支那,中印军事冲突与地缘政治,中东与中国历史政治研究,15
手性化合物,手性化合物,有机与无机化学知识,化学与物理性质,8
泡利不相容原理,泡利不相容原理,性质与特性,化学与物理性质,8
OVID,OVID,OLAP技术,教育研究与实践,13
程序需要,进程管理,计算机系统管理,信息技术与管理,12
价层电子对互斥理论,价层电子对互斥理论,化学理论,科学理论与方法,9
上甘岭战役,中美军事冲突,中印军事冲突与地缘政治,中东与中国历史政治研究,15
沙漠之狐,沙漠之狐,中印军事冲突与地缘政治,中东与中国历史政治研究,15
电容电压,电气电路知识,运算放大器与电路设计,信息技术与管理,12
PHP函数,PHP编程知识,编程知识,数据处理与编程知识,5
时间成本,成本与价格分析,分析方法,科学理论与方法,9
环己甲酸合成,环己甲酸合成,有机与无机化学知识,化学与物理性质,8
共基电路,电路设计与分析,运算放大器与电路设计,信息技术与管理,12
外掠圆管换热,换热器类型,热交换与传热,热力学与化学反应,7
机遇,机遇,生产与机会,经济体系与发展,16
侵害名誉权,个人权利保护,个人权利保护,法律与责任,6
数据挖掘应用,数据挖掘应用,数据处理与分析,信息技术与管理,12
正面情绪,积极心理学,心理学理论,科学理论与方法,9
课程实施主体,课程理论与实践,课程理论与实践,教育研究与实践,13
面向对象的概念,对象研究,研究设计,组织与评估设计,0
零杆,零杆,点的特性,化学与物理性质,8
金属材料,金属材料,材料科学与工程,生物与自然科学,4
我国古代教育思想,我国古代教育思想,教育发展概念,教育研究与实践,13
胜利油田,石油产业,石油与能源产业,经济体系与发展,16
0向量,向量与空间理论,数学理论,科学理论与方法,9
共射放大电路,放大电路设计,运算放大器与电路设计,信息技术与管理,12
基本变量,随机变量及其性质,随机变量及其性质,化学与物理性质,8
营业成本,成本与价格分析,分析方法,科学理论与方法,9
战国时期,秦朝历史,秦朝历史,中东与中国历史政治研究,15
流行病学家,流行病学家,循证医学与流行病学,生物与自然科学,4
应激性高血糖,心血管疾病风险因素,急救与应急管理,信息技术与管理,12
母公司,企业类型与品牌,商业与产业,经济体系与发展,16
盖斯定律,物理定律与定理,物理定律与定理,科学理论与方法,9
波茨坦会议,波茨坦会议,波茨坦会议,国际关系与协议,3
状态函数,状态函数,函数理论,科学理论与方法,9
慢性胃炎,胃部疾病,泌尿系统与代谢疾病,生物与环境设计,2
卫生间,卫生间,厨房与卫生间,生物与环境设计,2
治疗性研究结果,临床研究与实践,课程理论与实践,教育研究与实践,13
学校教育制度,学校教育制度,教育制度与发展,教育研究与实践,13
黎巴嫩战争,中东战争与冲突,中东战争与冲突,中东与中国历史政治研究,15
处分权,物权与权利,物权法律关系,法律与政治制度,10
连续分质贮存,贮存管理,计算机系统管理,信息技术与管理,12
离散型随机变量,随机变量及其性质,随机变量及其性质,化学与物理性质,8
画家,画家,文化艺术,中东与中国历史政治研究,15
抗美援朝,中美军事冲突,中印军事冲突与地缘政治,中东与中国历史政治研究,15
历史材料,历史材料,历史研究,中东与中国历史政治研究,15
酸价,酸价,酸性性质,化学与物理性质,8
闯红灯,灾害与突发事件,急救与应急管理,信息技术与管理,12
强制缔约,合同法基本概念,合同法知识,法律与政治制度,10
数据结构,数据结构,数据结构,数据处理与编程知识,5
阿富汗战争,中东战争与冲突,中东战争与冲突,中东与中国历史政治研究,15
物权法,物权与权利,物权法律关系,法律与政治制度,10
货币市场,货币市场,货币与金融市场,经济体系与发展,16
电负性,电学概念,运算放大器与电路设计,信息技术与管理,12
花境设计,花境设计,植物景观与设计,生物与环境设计,2
期望教育的基本理念,期望教育的基本理念,期望教育的基本理念,教育研究与实践,13
课程目标,课程理论与实践,课程理论与实践,教育研究与实践,13
类的静态成员,面向对象编程中的类结构,程序设计范式,数据处理与编程知识,5
校本课程,课程理论与实践,课程理论与实践,教育研究与实践,13
氯化银,无机化学化合物,有机与无机化学知识,化学与物理性质,8
心理文字,积极心理学,心理学理论,科学理论与方法,9
乙基环己烷,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
特征选择,特征与性质,性质与特性,化学与物理性质,8
阿拉伯,中东政治与历史,中东政治与历史,中东与中国历史政治研究,15
个人信息,个人信息与信息保护,个人权利保护,法律与责任,6
助人行为,助人行为,助人行为,法律与责任,6
齐次线性方程组,方程求解方法,方程理论,科学理论与方法,9
Adaboost算法,算法设计与应用,算法设计与应用,信息技术与管理,12
等价无穷小,等价无穷小,无穷小理论,科学理论与方法,9
积极情绪,积极心理学,心理学理论,科学理论与方法,9
浆细胞,浆细胞,免疫细胞与体液,生物与环境设计,2
非要式合同,合同法,合同法知识,法律与政治制度,10
资本主义政治制度,资本主义理论,经济理论概述,科学理论与方法,9
绿茶,茶文化,文化艺术,中东与中国历史政治研究,15
n阶原点矩,矩阵理论,数学理论,科学理论与方法,9
循证,循证,循证医学与流行病学,生物与自然科学,4
初值问题求解,方程求解方法,方程理论,科学理论与方法,9
现代学制发展特点,现代学制发展特点,教育发展概念,教育研究与实践,13
磨损,磨损,损伤类型,类型分类,1
皖南屯绿,皖南屯绿,植物景观与设计,生物与环境设计,2
长平之战,长平之战,中国历史改革与革命,中东与中国历史政治研究,15
自画像,艺术作品,文化艺术,中东与中国历史政治研究,15
植物景观,植物景观设计与规划,植物景观与设计,生物与环境设计,2
动作电位,电学概念,运算放大器与电路设计,信息技术与管理,12
多学科综合型全文数据库,多学科综合型全文数据库,数据库系统,数据处理与编程知识,5
四段教学法,学习方法与策略,微课学习策略,教育研究与实践,13
热机的逆循环,热机的逆循环,热机的逆循环,热力学与化学反应,7
共射直流电流放大系数,放大电路设计,运算放大器与电路设计,信息技术与管理,12
电梯调度算法,电梯调度算法,算法优化与分析,信息技术与管理,12
促销方式,促销方式,商业与产业,经济体系与发展,16
REACT,学术资源平台,学术资源平台,教育研究与实践,13
归谬赋值法,归谬赋值法,线性代数解法,科学理论与方法,9
外交战略,外交战略,国际战略,中东与中国历史政治研究,15
非酒精性脂肪肝,肝脏疾病与代谢,泌尿系统与代谢疾病,生物与环境设计,2
积极心理学,积极心理学,心理学理论,科学理论与方法,9
标志性优势,特征与性质,性质与特性,化学与物理性质,8
沸腾换热,沸腾换热,热交换与传热,热力学与化学反应,7
铣削,金属加工与表面处理,材料科学与工程,生物与自然科学,4
一阶导数差分表达式,导数理论,导数理论,科学理论与方法,9
古树名木保护,古树名木保护,植物景观与设计,生物与环境设计,2
连续函数,函数分析,函数理论,科学理论与方法,9
芳香性,香气化学,有机与无机化学知识,化学与物理性质,8
观测值,值的类型,值的类型,类型分类,1
财务分析,财务报表分析,分析方法,科学理论与方法,9
典型事例,实践经验,课程理论与实践,教育研究与实践,13
求不定积分,积分理论,数学理论,科学理论与方法,9
硅谷,硅谷,科技与支付系统,信息技术与管理,12
经验教训,实践经验,课程理论与实践,教育研究与实践,13
作品,艺术作品,文化艺术,中东与中国历史政治研究,15
肿瘤生长,癌症类型,泌尿系统与代谢疾病,生物与环境设计,2
隐私权保护对象,隐私权保护对象,个人权利保护,法律与责任,6
体脂率,身体成分分析,分析方法,科学理论与方法,9
幽门螺旋杆菌,胃部疾病,泌尿系统与代谢疾病,生物与环境设计,2
酶,DNA生物学,生物与地理科学,生物与自然科学,4
农业类外文期刊,农业类外文期刊,期刊分类与投稿,教育研究与实践,13
汉更始帝,汉朝历史人物,中国历史,中东与中国历史政治研究,15
生命权,物权与权利,物权法律关系,法律与政治制度,10
政治体制,政治体制,政治体制与制度改革,中东与中国历史政治研究,15
教育技术,教育技术,教育技术,教育研究与实践,13
反应蛋白浓度,反应蛋白浓度,反应蛋白浓度,热力学与化学反应,7
精神性人格权,人格权利,个人权利保护,法律与责任,6
肘关节的结构,肘关节的结构,结构类型,类型分类,1
总成本,成本与价格分析,分析方法,科学理论与方法,9
社会信息屏障,个人信息与信息保护,个人权利保护,法律与责任,6
理性预期,积极心理学,心理学理论,科学理论与方法,9
磁性及磁性材料,磁性及磁性材料,材料科学与工程,生物与自然科学,4
AD-AS模型,模型理论,数学理论,科学理论与方法,9
课堂教学结构,教学方法与设计,教学环境与设计,教育研究与实践,13
失血性休克缺血期微循环,休克及其并发症,急救与应急管理,信息技术与管理,12
模糊逻辑,逻辑学概论,逻辑学概论,科学理论与方法,9
物化劳动,生活水平与经济发展,经济发展与增长,经济体系与发展,16
形状函数,形状函数,形状函数,科学理论与方法,9
气相反应,气相反应,反应类型,类型分类,1
商业模式特点,商业模式,商业与产业,经济体系与发展,16
特权指令,特权指令,特权指令,国际关系与协议,3
电路,电气电路知识,运算放大器与电路设计,信息技术与管理,12
引入阶段,对象研究,研究设计,组织与评估设计,0
货币供给,货币供给,货币与金融市场,经济体系与发展,16
光脉冲,光学性质,性质与特性,化学与物理性质,8
可导函数,可导函数,函数理论,科学理论与方法,9
EM算法,算法设计与应用,算法设计与应用,信息技术与管理,12
休克恶化,休克及其并发症,急救与应急管理,信息技术与管理,12
下丘脑损伤,下丘脑损伤,损伤类型,类型分类,1
印度支那停战协定,印度支那停战协定,中印军事冲突与地缘政治,中东与中国历史政治研究,15
呼吸底物,呼吸生理学,生物与地理科学,生物与自然科学,4
训练样本,实验设计与样本分析,实验设计与样本分析,信息技术与管理,12
工作步骤,进程管理,计算机系统管理,信息技术与管理,12
图像软件,办公与设计软件应用,多媒体与技术应用,教育研究与实践,13
D-乳酸,有机酸和代谢紊乱,有机酸和代谢紊乱,化学与物理性质,8
对流传热微分方程组,热传递系数,传热学概念,热力学与化学反应,7
模型,模型理论,数学理论,科学理论与方法,9
数据清理,数据处理技术,数据管理与处理,信息技术与管理,12
宅基地使用权,土地使用权与抵押权,物权法律关系,法律与政治制度,10
电池反应,反应类型,反应类型,类型分类,1
KNN近邻方法,数值计算与分类算法,数值计算与分类算法,信息技术与管理,12
次生灾害,灾害与突发事件,急救与应急管理,信息技术与管理,12
双轨学制,双轨学制,双轨学制,教育研究与实践,13
EOQ模型,模型理论,数学理论,科学理论与方法,9
宫廷礼仪,中国文化概念,中国文化概念,中东与中国历史政治研究,15
石油企业文化建设,中国石油文化,石油与能源产业,经济体系与发展,16
信息网络,网络技术,多媒体与技术应用,教育研究与实践,13
企业,企业,企业,法律与责任,6
信息化教学资源,信息化教学资源,信息化教学资源,教育研究与实践,13
创新商业模式,商业模式,商业与产业,经济体系与发展,16
经典逻辑,逻辑学概论,逻辑学概论,科学理论与方法,9
逻辑,逻辑学概论,逻辑学概论,科学理论与方法,9
植物生长调节剂,植物生长调节剂,植物景观与设计,生物与环境设计,2
真实利率,利率与汇率,利率与汇率,经济学概念,11
温熵图,热力学与相变,热力学理论,科学理论与方法,9
外呼吸功能,呼吸生理学,生物与地理科学,生物与自然科学,4
路演,路演,服务平台管理,信息技术与管理,12
格式条款,格式条款,文件格式与内容管理,信息技术与管理,12
比旋光度,光学性质,性质与特性,化学与物理性质,8
质点模型,模型理论,数学理论,科学理论与方法,9
党和国家领导制度的改革,中国经济体制改革,中国历史改革与革命,中东与中国历史政治研究,15
反坦克导弹,中美军事冲突,中印军事冲突与地缘政治,中东与中国历史政治研究,15
类的组合,面向对象编程中的类结构,程序设计范式,数据处理与编程知识,5
利润表分析路径,财务报表分析,分析方法,科学理论与方法,9
目标设置,目标设定与规划,规划与设计,生物与环境设计,2
局部染色,局部染色,损伤类型,类型分类,1
中心地理论,中心地理论,中心地理论,科学理论与方法,9
交换矩阵,矩阵理论,数学理论,科学理论与方法,9
伸展算法的复杂度分析,伸展算法的复杂度分析,算法优化与分析,信息技术与管理,12
死腔样通气,死腔样通气,呼吸系统疾病,生物与环境设计,2
游戏新闻,新闻传播与实践,课程理论与实践,教育研究与实践,13
环戊烷,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
函数的变化,函数的变化,函数理论,科学理论与方法,9
效度,效度,测量理论,科学理论与方法,9
牧草种子播种,牧草种子知识,植物景观与设计,生物与环境设计,2
初步具备风格,初步具备风格,性质与特性,化学与物理性质,8
肾性急性肾衰竭,肾性急性肾衰竭,泌尿系统与代谢疾病,生物与环境设计,2
反应物浓度,反应物浓度,反应物浓度,热力学与化学反应,7
独立同分布,独立同分布,性质与特性,化学与物理性质,8
吸水率,吸水率,物理性质,化学与物理性质,8
输卵管,生殖与消化系统,生殖与消化系统,生物与环境设计,2
个性化,个性化与文化适应,文化艺术,中东与中国历史政治研究,15
改型设计,设计领域,设计领域,组织与评估设计,0
植物景观空间,植物景观设计与规划,植物景观与设计,生物与环境设计,2
休眠解除,休眠解除,急救与应急管理,信息技术与管理,12
城市道路绿化,城市道路绿化,植物景观与设计,生物与环境设计,2
虚拟货币,虚拟货币,货币类型,类型分类,1
永久性,性质,性质与特性,化学与物理性质,8
隋炀帝,汉朝历史人物,中国历史,中东与中国历史政治研究,15
竹林七贤,竹林七贤,竹林七贤,中国古代文化,14
光,光学性质,性质与特性,化学与物理性质,8
量子数,量子数与数值概念,量子数与数值概念,科学理论与方法,9
宣告死亡,宣告死亡,急救与应急管理,信息技术与管理,12
存储处理,存储处理,计算机系统管理,信息技术与管理,12
色彩区分,空间规划,规划与设计,生物与环境设计,2
宽银幕影像,摄影技术,多媒体与技术应用,教育研究与实践,13
醇类,醇类,发酵化学,化学与物理性质,8
中画幅相机,摄影技术,多媒体与技术应用,教育研究与实践,13
五氧化二磷,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
第2类拉格朗日方程,方程求解方法,方程理论,科学理论与方法,9
商鞅,商鞅,商鞅,中东与中国历史政治研究,15
地面战役,地面战役,军事历史与组织,中东与中国历史政治研究,15
花境观赏角度,花境观赏角度,植物景观与设计,生物与环境设计,2
高钾血症,心血管疾病风险因素,急救与应急管理,信息技术与管理,12
静态函数,静态函数,静态函数,科学理论与方法,9
突发事件,灾害与突发事件,急救与应急管理,信息技术与管理,12
零空间,向量与空间理论,数学理论,科学理论与方法,9
多文件结构,多文件结构,多文件结构,数据处理与编程知识,5
维生素,维生素,维生素,热力学与化学反应,7
变量,随机变量及其性质,随机变量及其性质,化学与物理性质,8
强化沸腾传热,强化沸腾传热,热交换与传热,热力学与化学反应,7
营销理论,营销理论,营销理论,科学理论与方法,9
自愿军空军,中美军事冲突,中印军事冲突与地缘政治,中东与中国历史政治研究,15
矩阵的对角化,矩阵理论,数学理论,科学理论与方法,9
总需求曲线,曲线分析,曲线分析,科学理论与方法,9
库存,库存,库存管理,信息技术与管理,12
产品功能结构,产品功能结构,结构类型,类型分类,1
货币政策最终目标,货币政策,货币与金融市场,经济体系与发展,16
物流管理,信息系统与管理,信息系统与管理,信息技术与管理,12
电子成像,电子学,运算放大器与电路设计,信息技术与管理,12
环己烷,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
决策过程,决策理论,心理学理论,科学理论与方法,9
需求曲线,曲线分析,曲线分析,科学理论与方法,9
石油战线,石油产业,石油与能源产业,经济体系与发展,16
本地化,个性化与文化适应,文化艺术,中东与中国历史政治研究,15
信息可视化,信息可视化,信息可视化,教育研究与实践,13
天使报喜,灾害与突发事件,急救与应急管理,信息技术与管理,12
激励理论,行为理论,心理学理论,科学理论与方法,9
教学功能,教学功能,教学环境与设计,教育研究与实践,13
国家垄断资本主义,国家垄断资本主义,国家垄断资本主义,法律与政治制度,10
教育学科体系,教育学科体系,教育制度与发展,教育研究与实践,13
函数的间断点,函数的间断点,函数理论,科学理论与方法,9
函数的极值,函数极值与极限,函数分析,科学理论与方法,9
礼乐制度,礼乐制度,社会与政治关系,中东与中国历史政治研究,15
嗜铬细胞瘤,癌症类型,泌尿系统与代谢疾病,生物与环境设计,2
财务报表,财务报表分析,分析方法,科学理论与方法,9
产品责任,产品责任,法律责任,法律与责任,6
左导数,导数理论,导数理论,科学理论与方法,9
轨道成键,原子结构与杂化理论,原子结构与杂化理论,科学理论与方法,9
放大电路,放大电路设计,运算放大器与电路设计,信息技术与管理,12
提香,香气化学,有机与无机化学知识,化学与物理性质,8
西塞罗,西塞罗,中国历史,中东与中国历史政治研究,15
关键词,检索词汇,信息检索技术,教育研究与实践,13
传递性,性质,性质与特性,化学与物理性质,8
内含报酬率,内含报酬率,投资收益率,经济学概念,11
肝性脑病,肝脏疾病与代谢,泌尿系统与代谢疾病,生物与环境设计,2
取景器,摄影技术,多媒体与技术应用,教育研究与实践,13
定积分应用,积分理论,数学理论,科学理论与方法,9
无差异曲线,曲线分析,曲线分析,科学理论与方法,9
物化,物化,物化,热力学与化学反应,7
包容式组合,包容式组合,团队协作与组合,组织与评估设计,0
西沙岛屿,岛屿与湖泊,岛屿与湖泊,生物与自然科学,4
阿人民民主党,阿人民民主党,中国历史改革与革命,中东与中国历史政治研究,15
特征值,特征值,相似性与特征分析,科学理论与方法,9
氯化钠,无机化学化合物,有机与无机化学知识,化学与物理性质,8
Nicol棱镜,Nicol棱镜,信息检索技术,教育研究与实践,13
硬文化,中国文化概念,中国文化概念,中东与中国历史政治研究,15
贵族军官,贵族军官,军事历史与组织,中东与中国历史政治研究,15
植物种类调查,植物群落研究,植物景观与设计,生物与环境设计,2
角系数,角系数,流体物理性质,化学与物理性质,8
电除颤,电气电路知识,运算放大器与电路设计,信息技术与管理,12
膜状凝结换热,换热器类型,热交换与传热,热力学与化学反应,7
骨产道,骨产道,生产与机会,经济体系与发展,16
负面情绪,积极心理学,心理学理论,科学理论与方法,9
同步轨道,同步轨道,性质与特性,化学与物理性质,8
辐射板,辐射热管理,辐射热传递,热力学与化学反应,7
种子认证,种子管理与研究,植物景观与设计,生物与环境设计,2
人力资本,资本理论,经济理论概述,科学理论与方法,9
CAJ浏览器,CAJ浏览器,计算机与信息系统相关术语,信息技术与管理,12
模化实验,模型理论,数学理论,科学理论与方法,9
条目内在一致性,条目内在一致性,文件格式与内容管理,信息技术与管理,12
对流给热系数,热传递系数,传热学概念,热力学与化学反应,7
调查性报道,调查性报道,调查性报道,教育研究与实践,13
预后研究,预后研究,预后研究,组织与评估设计,0
积极自我介绍,积极心理学,心理学理论,科学理论与方法,9
历史兴亡周期率,历史兴亡周期率,历史研究,中东与中国历史政治研究,15
数据集成,数据集成,数据处理与分析,信息技术与管理,12
数组,数组与维数,数组与维数,科学理论与方法,9
生命周期,生殖与发育,生殖与发育,生物与环境设计,2
微课,教学方法与设计,教学环境与设计,教育研究与实践,13
描述性调研,调查研究,研究设计,组织与评估设计,0
实践,实践经验,课程理论与实践,教育研究与实践,13
配离子,离子化学,有机与无机化学知识,化学与物理性质,8
集体土地使用权,土地使用权与抵押权,物权法律关系,法律与政治制度,10
综述性文章,中文期刊概览,期刊分类与投稿,教育研究与实践,13
侵权责任承担,侵权责任法,法律责任,法律与责任,6
高平陵之变,高平陵之变,中国历史改革与革命,中东与中国历史政治研究,15
随机森林算法,随机森林算法,算法优化与分析,信息技术与管理,12
人民代表大会制度,人民代表大会制度,政治体制与制度改革,中东与中国历史政治研究,15
购买力平价的汇率理论,经济理论,经济理论概述,科学理论与方法,9
二环化合物,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
种子鉴定,种子管理与研究,植物景观与设计,生物与环境设计,2
细胞周期,生殖与发育,生殖与发育,生物与环境设计,2
鳌合物,化学键与配合物,有机与无机化学知识,化学与物理性质,8
教育制度,教育制度与发展,教育制度与发展,教育研究与实践,13
甲酸,有机酸和代谢紊乱,有机酸和代谢紊乱,化学与物理性质,8
中国革命,中国革命,中国历史改革与革命,中东与中国历史政治研究,15
王莽改革,王莽改革,中国历史改革与革命,中东与中国历史政治研究,15
平衡方程,平衡方程,平衡理论,科学理论与方法,9
离子极性,离子化学,有机与无机化学知识,化学与物理性质,8
联合国军,联合国军,军事历史与组织,中东与中国历史政治研究,15
呼吸作用,呼吸生理学,生物与地理科学,生物与自然科学,4
耐力,耐力,时间管理与复杂度,信息技术与管理,12
ASME,ASME,内容元素与信息来源,教育研究与实践,13
投机动机,积极心理学,心理学理论,科学理论与方法,9
传统文化,中国文化概念,中国文化概念,中东与中国历史政治研究,15
智慧应急,应急管理体系,应急管理体系,信息技术与管理,12
可逆矩阵,矩阵理论,数学理论,科学理论与方法,9
教育影响,教育制度与发展,教育制度与发展,教育研究与实践,13
荀子,荀子,荀子,中国古代文化,14
要约,要约,要约,国际关系与协议,3
国际政治经济新秩序,国际政治经济新秩序,国际政治经济新秩序,中东与中国历史政治研究,15
阴道,生殖与消化系统,生殖与消化系统,生物与环境设计,2
伊拉克,中东政治与历史,中东政治与历史,中东与中国历史政治研究,15
继承与派生,继承与派生,性质与特性,化学与物理性质,8
调查,调查研究,研究设计,组织与评估设计,0
土地使用权,土地使用权与抵押权,物权法律关系,法律与政治制度,10
越南战争,中美军事冲突,中印军事冲突与地缘政治,中东与中国历史政治研究,15
左零空间,向量与空间理论,数学理论,科学理论与方法,9
描述性研究,研究方法论,研究设计,组织与评估设计,0
包装种子,种子管理与研究,植物景观与设计,生物与环境设计,2
货币,货币,货币类型,类型分类,1
自然灾害,灾害与突发事件,急救与应急管理,信息技术与管理,12
投入辐射,辐射热管理,辐射热传递,热力学与化学反应,7
新民主主义论,新民主主义论,中国历史改革与革命,中东与中国历史政治研究,15
微分方程的求解问题,方程求解方法,方程理论,科学理论与方法,9
数据仓库,数据管理系统,数据管理与处理,信息技术与管理,12
测试误差,偏差与异常分析,偏差与异常分析,科学理论与方法,9
低维材料,材料科学,材料科学与工程,生物与自然科学,4
教学,教学方法与设计,教学环境与设计,教育研究与实践,13
室性心动过速,心血管急救与疾病,急救与应急管理,信息技术与管理,12
石油工程,石油工程,石油与能源产业,经济体系与发展,16
教师职业发展阶段,教师专业发展,教育制度与发展,教育研究与实践,13
快速排序,快速排序,排序算法,信息技术与管理,12
病毒,病毒感染,循证医学与流行病学,生物与自然科学,4
赔偿,赔偿,赔偿与代偿,法律与责任,6
建筑热湿环境的内扰因素,建筑热湿环境的内扰因素,建筑环境与生态设计,生物与环境设计,2
可见光,光学性质,性质与特性,化学与物理性质,8
碗钉,碗钉,材料科学与工程,生物与自然科学,4
立体异构,异构现象,性质与特性,化学与物理性质,8
刚体运动,运动学,力学理论,科学理论与方法,9
发酵过程,发酵过程,发酵化学,化学与物理性质,8
随机对照试验,实验设计与样本分析,实验设计与样本分析,信息技术与管理,12
保险销售,金融服务行业,商业与产业,经济体系与发展,16
Powerpoint软件操作,办公与设计软件应用,多媒体与技术应用,教育研究与实践,13
PHP,PHP编程知识,编程知识,数据处理与编程知识,5
表面传热系数,热传递系数,传热学概念,热力学与化学反应,7
化学吸附,化学概念,有机与无机化学知识,化学与物理性质,8
内呼吸状况,呼吸生理学,生物与地理科学,生物与自然科学,4
树的拓扑结构,树的拓扑结构,数据结构,数据处理与编程知识,5
植物专类园,植物专类园,植物景观与设计,生物与环境设计,2
中国传统观念,中国文化概念,中国文化概念,中东与中国历史政治研究,15
粉红色泡沫痰,粉红色泡沫痰,呼吸系统疾病,生物与环境设计,2
材料工程,材料科学与工程,材料科学与工程,生物与自然科学,4
钨,矿物与金属材料,材料科学与工程,生物与自然科学,4
阴极反应,阴极反应,反应类型,类型分类,1
种子贮藏,种子管理与研究,植物景观与设计,生物与环境设计,2
程序,进程管理,计算机系统管理,信息技术与管理,12
普洱茶,茶文化,文化艺术,中东与中国历史政治研究,15
预期通货膨胀率,通货膨胀与汇率,货币与金融市场,经济体系与发展,16
录制微课方法,录制微课方法,微课学习策略,教育研究与实践,13
热应力分析,热力学知识,热力学理论,科学理论与方法,9
一维导热,一维导热,辐射热传递,热力学与化学反应,7
膜状凝结,膜状凝结,膜状凝结,热力学与化学反应,7
约定免责事由,约定免责事由,法律责任,法律与责任,6
黑色金属,矿物与金属材料,材料科学与工程,生物与自然科学,4
国民教育,教育理论与实践,教育理论与实践,教育研究与实践,13
恒温烘箱法,恒温烘箱法,恒温烘箱法,热力学与化学反应,7
口罩设计,设计领域,设计领域,组织与评估设计,0
传感器,传感器,多媒体与技术应用,教育研究与实践,13
不饱和脂,肝脏疾病与代谢,泌尿系统与代谢疾病,生物与环境设计,2
新闻素材,新闻传播与实践,课程理论与实践,教育研究与实践,13
驱逐舰,驱逐舰,军舰与火炮,生物与自然科学,4
休克,休克及其并发症,急救与应急管理,信息技术与管理,12
大数据应用,大数据知识,大数据知识,数据处理与编程知识,5
疾病的自然史,疾病的自然史,泌尿系统与代谢疾病,生物与环境设计,2
3p亚层,3p亚层,流体力学层次,科学理论与方法,9
艾宾浩斯记忆曲线,曲线分析,曲线分析,科学理论与方法,9
汉初功臣,汉朝历史人物,中国历史,中东与中国历史政治研究,15
研究设计类型,研究方法论,研究设计,组织与评估设计,0
空袭阿富汗,中东战争与冲突,中东战争与冲突,中东与中国历史政治研究,15
一国两制,一国两制,政治体制与制度改革,中东与中国历史政治研究,15
奇函数,奇函数,函数理论,科学理论与方法,9
急救,急救,急救与应急管理,信息技术与管理,12
刺激,积极心理学,心理学理论,科学理论与方法,9
